8,15
16,4
16,12
6,8
12,1
13,3
9,7
14,15
8,6
2,5
7,1
5,13
1,5
7,7
9,14
6,12
15,16
4,3
2,2
8,1
4,8
11,9
8,10
11,16
10,2
4,5
3,9
12,5
3,10
6,16
5,7
15,5
14,7
7,6
11,6
5,16
6,13
11,11
5,2
2,15
11,12
2,14
8,7
7,2
11,7
14,4
16,13
16,3
14,2
7,16
12,13
10,8
12,15
4,14
1,16
1,4
8,2
10,5
6,15
10,1
13,1
10,3
6,2
5,8
14,14
9,2
2,12
10,13
2,16
13,2
13,15
9,9
15,12
11,5
13,16
3,7
1,8
3,14
4,12
16,10
16,14
11,2
11,4
7,11
1,10
9,1
5,5
7,12
8,9
2,6
13,9
15,13
13,8
3,12
11,15
3,16
1,12
16,6
12,2
16,7
15,15
9,13
6,6
1,2
6,9
14,11
8,12
12,16
5,14
5,3
10,14
2,11
16,2
8,8
11,3
16,8
14,12
12,4
10,9
3,6
7,14
12,8
6,5
5,1
9,3
13,6
15,6
4,4
11,1
2,13
13,11
16,11
10,6
7,9
15,4
6,10
11,8
7,10
2,9
7,3
16,9
4,9
13,5
13,7
12,10
12,9
2,3
4,10
8,3
9,6
14,10
8,14
1,9
3,5
3,13
16,16
10,11
5,4
2,1
4,13
9,12
3,2
15,11
10,10
6,11
1,6
9,4
12,11
6,1
1,14
12,12
8,16
16,5
6,14
5,10
8,13
4,15
12,7
9,16
8,4
10,12
13,13
7,8
15,8
11,14
4,11
1,7
9,11
1,3
4,16
1,13
14,13
2,7
3,15
14,1
11,13
4,1
14,6
4,6
5,15
